"","logFC","logCPM","LR","PValue","FDR","tag"
"hsa-miR-501-3p",0.531710397519296,4.87006153896874,40.2680915836496,2.2139558816826e-10,1.54976911717782e-09,"Stable"
"hsa-miR-944",-1.24958032928737,0.441088327263293,39.8849559475703,2.69369956395253e-10,1.86486892889021e-09,"Down"
"hsa-miR-370-3p",-1.34556588293532,0.690599821226197,39.7241027864933,2.92493417309256e-10,1.99047850915057e-09,"Down"
"hsa-miR-345-3p",0.995452805935641,1.17278072188964,39.7151815738426,2.93832541826989e-10,1.99047850915057e-09,"Stable"
"hsa-miR-199b-3p",-0.843327110812465,10.2217200171656,39.6941163331318,2.97018961324714e-10,1.99065899611245e-09,"Stable"
"hsa-miR-29a-3p",-0.43739372232095,14.4154950856367,39.6392138550356,3.05487269128918e-10,2.0070396132933e-09,"Stable"
"hsa-miR-199a-3p",-0.842243457324668,10.2253390372232,39.6369946144674,3.05834607739932e-10,2.0070396132933e-09,"Stable"
"hsa-miR-19b-1-5p",-0.46183655419534,2.9197151995811,39.4723135519583,3.3274376200387e-10,2.16111927899421e-09,"Stable"
"hsa-miR-485-3p",-1.21433196824203,0.565385413950235,38.8104059060972,4.67031520993713e-10,3.00234549210244e-09,"Down"
"hsa-miR-369-5p",-1.48227785096004,0.501500488318771,38.7095958713505,4.9178539218449e-10,3.12954340481039e-09,"Down"
"hsa-miR-1251-3p",0.777534360262138,2.58657712174583,38.6734419878454,5.00979440408744e-10,3.15617047457509e-09,"Stable"
"hsa-miR-532-5p",0.390026030764281,9.73842484844503,38.3761282499621,5.83417073352752e-10,3.63913620012113e-09,"Stable"
"hsa-miR-618",0.871130082088155,-0.245194957312371,38.3037856733328,6.05450767393842e-10,3.73954885743255e-09,"Stable"
"hsa-miR-152-5p",0.782562765680628,0.139454908186587,38.1106853118532,6.68430733381029e-10,4.08845982553445e-09,"Stable"
"hsa-miR-142-3p",-0.967464658096031,10.5720640400615,37.9816608746604,7.14127393171813e-10,4.32596401632925e-09,"Stable"
"hsa-miR-651-5p",0.523971706838766,2.13856758932026,37.8004654242127,7.83630754160437e-10,4.70178452496262e-09,"Stable"
"hsa-miR-331-3p",0.439493720857942,5.89378909978011,37.5931114044971,8.71517214022886e-10,5.17977212107941e-09,"Stable"
"hsa-miR-501-5p",0.494400599578754,1.47294108825722,37.562111044411,8.85479039628975e-10,5.21356817725471e-09,"Stable"
"hsa-miR-185-5p",0.387087433851383,6.67979975573073,37.1330030560449,1.10340333251414e-09,6.43651943966583e-09,"Stable"
"hsa-miR-369-3p",-1.15632899687269,0.923813124000882,37.1000943199891,1.12218293987299e-09,6.48601148733929e-09,"Down"
"hsa-miR-299-5p",-1.36561125690956,0.212194270475802,37.0092777403866,1.17568496346788e-09,6.73346842713421e-09,"Down"
"hsa-miR-6755-5p",0.56712540700793,0.579073471994961,36.7431720817432,1.34761779994167e-09,7.64864156723649e-09,"Stable"
"hsa-miR-758-5p",-1.35364896556483,1.40967526388735,36.6278920295217,1.42971309738374e-09,8.04213617278352e-09,"Down"
"hsa-miR-655-3p",-1.38734352034871,-0.0955568428065145,36.6019618690062,1.44885825891972e-09,8.07770533734005e-09,"Down"
"hsa-miR-616-5p",0.718533471809858,1.97289405978367,36.2835930894438,1.70593977452875e-09,9.35025482692851e-09,"Stable"
"hsa-miR-148a-3p",0.673740317985487,15.4951468442925,36.2826191048063,1.70679254777267e-09,9.35025482692851e-09,"Stable"
"hsa-miR-6854-5p",-0.667956705004979,0.833853982690698,36.2302580463251,1.75327118911563e-09,9.52207628571422e-09,"Stable"
"hsa-miR-6730-3p",-1.06056522481492,-0.37208429642322,35.9028594944339,2.07404104094836e-09,1.11679132974142e-08,"Down"
"hsa-miR-183-3p",0.855296439576165,-0.254866969519097,35.8677742765742,2.11172740077054e-09,1.1274476800724e-08,"Stable"
