"","logFC","AveExpr","t","P.Value","adj.P.Val","B","tag"
"hsa-miR-148b-5p",-0.0707136270430628,1.21065684669252,-0.703616483579203,0.481956079684896,0.551056860619754,-7.00799661608209,"Stable"
"hsa-miR-643",0.0428599525755975,-1.80740039137679,0.325009357258823,0.745292048991707,0.795820323499619,-7.02242526551092,"Stable"
"hsa-miR-548aw",0.0476199044070924,-1.20245325424882,0.320786012824916,0.748488956179685,0.796533855393921,-7.02531502418812,"Stable"
"hsa-miR-4449",-0.0455035971241429,-1.4454286599395,-0.278926385402623,0.780401472981587,0.824921020097986,-7.03683154421333,"Stable"
"hsa-miR-412-5p",0.0720885482364662,-0.632151937544194,0.307229456751875,0.758779814722932,0.804766470160686,-7.03933821084587,"Stable"
"hsa-miR-6803-3p",-0.0377051017146786,-1.02809949204882,-0.251250991326183,0.801709706983445,0.841795192332618,-7.04782711857028,"Stable"
"hsa-miR-1287-3p",0.100392330158519,3.07766301499286,0.811766251164398,0.41726123716868,0.487707939547808,-7.06019298702032,"Stable"
"hsa-miR-33a-3p",-0.0629612131177527,0.588726251330806,-0.507320372523306,0.612124302651794,0.676558439773036,-7.06463493749893,"Stable"
"hsa-miR-6833-3p",0.0185429202978218,-1.4090860721489,0.126187715066332,0.899627386887198,0.923070445828884,-7.06749794732261,"Stable"
"hsa-miR-580-3p",0.0158407161619896,-1.63121064265575,0.113803999453031,0.909432839019355,0.928594308885241,-7.06843786484743,"Stable"
"hsa-miR-618",0.0161204276045872,-1.28323966997032,0.0957384022358318,0.923761652130814,0.938661033616795,-7.07154177682805,"Stable"
"hsa-miR-3614-5p",-0.034279483854691,-0.532664793800314,-0.209129441900331,0.83442115969895,0.871783301178007,-7.07279321625482,"Stable"
"hsa-miR-4781-3p",0.00837544044507266,-1.68574386564911,0.0607347146696845,0.951591559717184,0.960741478560619,-7.0730387649255,"Stable"
"hsa-miR-3920",-0.00454429687415758,-1.49281951016657,-0.0290373886158119,0.976844833251637,0.979955804058171,-7.07475820441769,"Stable"
"hsa-miR-320d",-0.00444629804064212,-1.05758077299922,-0.0291150893736751,0.976782890164964,0.979955804058171,-7.07800955243334,"Stable"
"hsa-miR-4326",-0.113050382427324,0.888475864995436,-0.545063962428211,0.585920592887876,0.652173098090746,-7.0787525370826,"Stable"
"hsa-miR-651-5p",-0.0776681596821038,1.82020358225307,-0.676631562015522,0.498911478192137,0.568380165029017,-7.07966892070275,"Stable"
"hsa-miR-125b-5p",0.0794890973535356,11.8796731919813,1.00772040349676,0.314012012786365,0.381906502037471,-7.08013710634847,"Stable"
"hsa-miR-664a-5p",-0.0716945939896214,3.24374447971246,-0.802670509984883,0.42249639753283,0.491093598608271,-7.0839968509431,"Stable"
"hsa-miR-582-5p",-0.0699702751683786,1.68051629152078,-0.647640687802273,0.517475522960391,0.587404647684769,-7.08760544020618,"Stable"
"hsa-miR-502-5p",0.00985523080968059,-0.501170861152168,0.0688941459630707,0.94509779752809,0.95571687390481,-7.09119456640287,"Stable"
"hsa-miR-3622a-3p",-0.0140238600053089,-0.495425525024332,-0.0712722740335824,0.943205810188928,0.955337074628657,-7.09279861468531,"Stable"
"hsa-miR-191-3p",0.0485586323288115,0.514815838572973,0.410586830622447,0.681528272369628,0.736471374944881,-7.09291487141157,"Stable"
"hsa-miR-493-3p",-0.0359207071107576,-0.273823236254685,-0.176913167157999,0.859638809483782,0.888384993723609,-7.09564999455365,"Stable"
