"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","tag"
"hsa-miR-31-3p",34.7088641565017,2.58481550982692,0.219375689311055,11.7825977798382,4.7990835564227e-32,1.88963915034144e-30,"Up"
"hsa-miR-3117-3p",0.929499284218554,-0.231304310464548,0.269544358679412,-0.858130778910695,0.390820253412945,0.487044917703678,"Stable"
"hsa-miR-3127-5p",3.95911355975895,-0.23304569566506,0.0991379732660418,-2.3507207983733,0.0187370873416731,0.035132038765637,"Stable"
"hsa-miR-3130-5p",4.91131151673729,-0.811200253159156,0.172529138152626,-4.70181594741137,2.57857883118653e-06,9.78617267257537e-06,"Stable"
"hsa-miR-3136-5p",0.251627821695536,-0.649874312220634,0.298282241817124,-2.17872277029173,0.0293522691543394,0.0525338908160051,"Stable"
"hsa-miR-3170",1.36463592294023,0.616420647232531,0.187165837962826,3.29344635720842,0.000989672242793803,0.00235280570928338,"Stable"
"hsa-miR-3173-5p",0.226833106737594,-0.293413303179084,0.351814428788157,-0.834000197745616,0.404280872415326,0.499410352372365,"Stable"
"hsa-miR-3193",0.832377860714086,-0.250259036053366,0.190519698645797,-1.31355989869915,0.188994351182053,0.265773306349761,"Stable"
"hsa-miR-3199",0.989363475157217,-0.571489994327444,0.162825955186827,-3.50982123010865,0.000448408060482845,0.0011483621061146,"Stable"
"hsa-miR-32-3p",1.4387713273496,0.11190865636019,0.158741077766312,0.704976039818338,0.480825147144531,0.573711823297452,"Stable"
"hsa-miR-32-5p",70.9432140961149,-0.103199353461377,0.0823788170456224,-1.25274138622583,0.210299839058074,0.28991006259647,"Stable"
"hsa-miR-3200-3p",4.74433739243192,0.573995130496962,0.125178767243898,4.58540328471675,4.53110984193864e-06,1.66935625755634e-05,"Stable"
"hsa-miR-320a-3p",523.724933741796,-0.0636551114101779,0.0804077481993284,-0.791653949223634,0.428562480687961,0.52223281012266,"Stable"
"hsa-miR-320b",4.21419476641474,-0.254814998171647,0.098885228648121,-2.57687626003673,0.00996976335111686,0.019506058730446,"Stable"
"hsa-miR-320c",0.816746674788836,-0.0164153656602834,0.203496998339852,-0.0806663773628186,0.935707276624271,0.951917301229764,"Stable"
"hsa-miR-324-3p",23.8857892778794,0.3292141670495,0.0827237520009006,3.97968127758416,6.90077229294962e-05,0.000207023168788489,"Stable"
"hsa-miR-324-5p",34.5653534061624,0.250434358708839,0.0819949573382049,3.05426536995283,0.00225612415928818,0.00500478246602659,"Stable"
"hsa-miR-326",5.65045081157628,-0.478024556304019,0.149685655585363,-3.19352281576114,0.00140548230628102,0.00325615116409873,"Stable"
"hsa-miR-328-3p",151.144482216337,0.229575163303572,0.0983296299152923,2.33475060875692,0.0195564527680657,0.0363438502769363,"Stable"
"hsa-miR-330-3p",4.11173998242654,-0.234003516126001,0.126015073012889,-1.85694862155154,0.0633184641366702,0.105530773561117,"Stable"
"hsa-miR-330-5p",20.2553864164083,0.147552189573991,0.0871174727163387,1.69371522122126,0.0903194106612267,0.14332803203167,"Stable"
"hsa-miR-331-3p",58.0404042854533,0.286151583473142,0.0988542304737066,2.8946822215085,0.00379542547357183,0.00786551989588898,"Stable"
"hsa-miR-331-5p",4.51674755626766,-0.249766712797368,0.082667293795466,-3.02134860511264,0.0025165144972397,0.00546691080434832,"Stable"
"hsa-miR-335-3p",66.1283512771427,0.635659035834813,0.0708567135708885,8.97104880822434,2.93704267705416e-19,4.51301679644908e-18,"Stable"
"hsa-miR-335-5p",15.2813216386068,-0.194319922601579,0.0980236638172279,-1.98237767325145,0.0474369865320087,0.0812100584651236,"Stable"
"hsa-miR-338-3p",591.805815213513,0.279761570445352,0.13452230598551,2.07966677641912,0.0375561074478992,0.0651800211905688,"Stable"
"hsa-miR-338-5p",7.81404383296777,0.12748421840418,0.130971967536446,0.973370262370873,0.33036931311922,0.425629176411265,"Stable"
"hsa-miR-339-3p",16.3206366622624,-0.428496683964775,0.079964831051395,-5.3585642379382,8.38859107743047e-08,3.85752728378189e-07,"Stable"
"hsa-miR-339-5p",34.4128686281834,0.0480102928500665,0.0986541772082636,0.486652407517571,0.626504677558637,0.702309513989219,"Stable"
"hsa-miR-33a-3p",1.71421097844385,-0.0296301902050849,0.14283347718145,-0.20744569683369,0.835661797774077,0.87744488766278,"Stable"
"hsa-miR-33a-5p",15.9119959980116,0.348064020212719,0.138248867910113,2.51766271561097,0.0118136388325327,0.0228300382346491,"Stable"
"hsa-miR-33b-5p",2.95142509176564,1.18463635285679,0.200928141441009,5.89582098535752,3.72822996308532e-09,2.00750844166133e-08,"Up"
"hsa-miR-340-3p",5.7599175614382,0.380856266253551,0.0916449143338511,4.15578179129655,3.24177114616918e-05,0.000103670853913025,"Stable"
"hsa-miR-340-5p",15.1918377820473,0.136978110142094,0.11855886388408,1.15535950374848,0.247943238107409,0.33164382167233,"Stable"
"hsa-miR-342-3p",103.327354157482,-0.691335834220063,0.116362771838525,-5.94121146563458,2.82923364040383e-09,1.54992799430818e-08,"Stable"
"hsa-miR-342-5p",7.08678750779442,-0.18619558192483,0.102251302169124,-1.82096049610068,0.0686128620528802,0.112567976805507,"Stable"
"hsa-miR-345-3p",2.10857056987476,-1.14430692565652,0.203595724175318,-5.6204860406162,1.90420978038933e-08,9.44608001295496e-08,"Down"
"hsa-miR-345-5p",83.687968735225,-0.464134912420582,0.167854530277081,-2.76510208961548,0.00569049834707058,0.0116019869212119,"Stable"
"hsa-miR-34a-3p",1.39536495338013,1.95200798406203,0.268152483728541,7.27947008701998,3.35133967216754e-13,2.81512532462074e-12,"Up"
"hsa-miR-34a-5p",465.958415749266,2.27881705985422,0.110165924946257,20.68531681612,4.69678805781128e-95,5.91795295284222e-93,"Up"
"hsa-miR-34b-3p",0.836062733053903,-0.563007059193482,0.204889627902538,-2.74785534512901,0.00599864679493798,0.0121126521820863,"Stable"
"hsa-miR-34b-5p",0.631332943852036,-0.0574366503563643,0.254233939385684,-0.225920467169533,0.821263278828778,0.866659741477605,"Stable"
"hsa-miR-34c-3p",2.54120134157015,-0.0435548712019789,0.172841138934672,-0.251993660018875,0.801045964281731,0.84959420454123,"Stable"
"hsa-miR-34c-5p",4.10326087199865,-0.114975801426721,0.171884666100693,-0.668912498334007,0.50355129701507,0.592966947886905,"Stable"
"hsa-miR-3605-3p",3.25267427262076,0.515300873841598,0.128213900198551,4.01907182484587,5.84278589606867e-05,0.000177823918576003,"Stable"
"hsa-miR-361-3p",251.644542687143,-0.154761847227433,0.080564640367843,-1.92096491116723,0.0547361313141582,0.0933901961650902,"Stable"
"hsa-miR-361-5p",309.516251105263,0.260849303927871,0.0517999167637628,5.03570893979411,4.76083503176039e-07,1.97324083553226e-06,"Stable"
"hsa-miR-3610",1.08609045551662,1.0689781869495,0.250975506919855,4.25929286912792,2.05074631942294e-05,6.79984305913922e-05,"Up"
"hsa-miR-3613-5p",12.7839738278204,0.797941050961466,0.105191846112143,7.58557892510789,3.3100575733172e-14,3.20820964798436e-13,"Stable"
"hsa-miR-3614-5p",0.853590752733528,-0.323596279514724,0.216199279434731,-1.49675003709906,0.134458311148257,0.198381114808904,"Stable"
"hsa-miR-3615",3.23047620460652,-0.308000432797801,0.119439927720189,-2.57870578689021,0.00991712111230637,0.0194635087250873,"Stable"
"hsa-miR-362-3p",2.31613506231541,-0.181475854092491,0.116421515495222,-1.55878278444106,0.119047800186304,0.179856388770675,"Stable"
"hsa-miR-362-5p",10.0551227880534,0.504732513205589,0.16338243485564,3.08927035915187,0.00200648756131831,0.0044985308314254,"Stable"
"hsa-miR-363-3p",6.16771510902657,-1.47939019916356,0.133208517852054,-11.1058228333913,1.17529796329441e-28,3.89704061513411e-27,"Down"
"hsa-miR-3651",1.03919756879987,-0.651089226656288,0.224189099584384,-2.90419662625578,0.00368196842756133,0.00765557791869188,"Stable"
"hsa-miR-365a-3p",27.9892155879312,-0.710172221707254,0.10185499646194,-6.97238472707251,3.11612968425266e-12,2.33709726318949e-11,"Stable"
"hsa-miR-365b-3p",28.0028490504566,-0.70989838549427,0.101773095245514,-6.97530505269332,3.05207830642167e-12,2.31663775065741e-11,"Stable"
"hsa-miR-3677-3p",2.72365690059536,0.0250098504655552,0.122855847354082,0.203570696911759,0.838688994085193,0.877726037889543,"Stable"
"hsa-miR-3677-5p",0.999083546656788,0.262245626772025,0.200253278934786,1.30956970176467,0.190341443726561,0.267071513469339,"Stable"
"hsa-miR-3690",0.551665546737985,0.746081202253732,0.343721840078194,2.17059585763885,0.0299617354973342,0.0534727857317863,"Stable"
"hsa-miR-374a-3p",1044.59338587911,0.026518617896978,0.100972082108454,0.262633168923807,0.792833332142583,0.842301853709658,"Stable"
"hsa-miR-374a-5p",44.674642133253,-0.374792993582934,0.0613494091634584,-6.10915408466838,1.00160592836817e-09,5.78909848506376e-09,"Stable"
"hsa-miR-374b-3p",2.02040703634043,0.0718052756196245,0.132955447753376,0.540070202710449,0.589148619032479,0.667560485594356,"Stable"
"hsa-miR-374b-5p",94.0233102798383,-0.435967333125175,0.0629433026726993,-6.92634981980806,4.31837851276583e-12,3.20068054475585e-11,"Stable"
"hsa-miR-375-3p",6644.92632452781,2.87201319133795,0.223327096774361,12.8601196756688,7.54597513004219e-38,3.65689563994352e-36,"Up"
"hsa-miR-378a-3p",220.562929373672,0.138337019024463,0.103772617015011,1.33307825323951,0.182506125091523,0.259545956676432,"Stable"
"hsa-miR-378a-5p",33.634900144317,-0.0352566693440191,0.104002485222586,-0.338998335170191,0.734610984329865,0.791053567754512,"Stable"
"hsa-miR-378c",3.80002010753433,0.0169891111030634,0.121186056037296,0.140190312801621,0.888509625585081,0.920659644931909,"Stable"
"hsa-miR-378d",0.354688932552133,0.160530918959254,0.291067645113723,0.551524436515548,0.581274219921421,0.663410794475535,"Stable"
"hsa-miR-379-5p",204.577576987036,-0.619551828809797,0.221545729200699,-2.79649637591769,0.00516599903449298,0.0106012358036827,"Stable"
"hsa-miR-3909",0.385376171124742,-0.111332999244741,0.281211770651971,-0.395904477919337,0.692175497510889,0.757169505909364,"Stable"
"hsa-miR-3912-3p",2.38842907169683,-0.630853793363804,0.112737359697489,-5.59578293350661,2.19628353096517e-08,1.07260358488996e-07,"Stable"
"hsa-miR-3913-5p",6.02899320783689,0.459354186674604,0.0884079478226012,5.19584718329104,2.03789617727748e-07,8.91579577558896e-07,"Stable"
"hsa-miR-3917",1.16383528492884,-0.42289459889613,0.205627635960975,-2.05660390404133,0.039724342397956,0.0685653033170199,"Stable"
"hsa-miR-3920",0.292354370912892,-0.153800514169021,0.304898323920884,-0.504432140495892,0.613957737078222,0.691938057887799,"Stable"
"hsa-miR-3926",1.07400692982941,-0.391018149494485,0.163806250022071,-2.38707710750841,0.0169829288829046,0.0321298654541439,"Stable"
"hsa-miR-3928-3p",0.963403588175606,0.0677071368259868,0.191230019294295,0.354061235133739,0.723292992607772,0.787303622515696,"Stable"
"hsa-miR-3934-3p",4.38948539375722,0.650525100229487,0.124334521782382,5.23205535280117,1.67635531980154e-07,7.43735106672514e-07,"Stable"
"hsa-miR-3934-5p",1.81635936472644,0.523876047407775,0.165378017170537,3.16774899331122,0.00153624094889169,0.00353223283869257,"Stable"
"hsa-miR-409-5p",3.1368502947666,-0.247581448576867,0.198213412851711,-1.24906506080943,0.211641278507315,0.291122282662901,"Stable"
"hsa-miR-421",2.23856952413306,-0.0421924668139338,0.12504685050074,-0.337413270665975,0.735805382070069,0.791053567754512,"Stable"
"hsa-miR-423-3p",131.357143828002,0.507305243500673,0.0629414992703978,8.05994851379819,7.63265895136392e-16,8.58674132028441e-15,"Stable"
"hsa-miR-423-5p",72.5115285220738,-0.0505854874229736,0.0883567090285768,-0.572514390578003,0.566973539427213,0.650643632898921,"Stable"
"hsa-miR-424-3p",13.8089193012047,1.0928558923268,0.143462655431707,7.61770294184352,2.58229725142086e-14,2.58229725142086e-13,"Up"
"hsa-miR-424-5p",448.5000572683,0.906976078296339,0.14168391081497,6.40140488132621,1.53953713376929e-10,9.79705448762275e-10,"Stable"
"hsa-miR-425-3p",8.37454525606614,0.143454079974478,0.0825713841863281,1.73733408235914,0.0823282189886613,0.131308298640143,"Stable"
"hsa-miR-425-5p",108.040074407408,-0.596810453230839,0.0961990801739265,-6.20391018450296,5.5077226664762e-10,3.27345781120756e-09,"Stable"
"hsa-miR-429",120.410910100794,0.744167927363841,0.159926189741785,4.65319613107376,3.26829103754728e-06,1.22560913908023e-05,"Stable"
"hsa-miR-4326",2.69867388046126,-0.018369811949334,0.149828433365329,-0.122605646583399,0.90241938285644,0.928961129411041,"Stable"
"hsa-miR-4443",0.618388890641922,1.0931217566965,0.342301054384346,3.19345132799127,0.00140583034386485,0.00325615116409873,"Up"
"hsa-miR-4444",1.39356952687438,0.256699233709235,0.168796683882072,1.5207599332258,0.128320092456305,0.19269810554889,"Stable"
"hsa-miR-4449",0.359941062569951,-0.401704926175683,0.311079150822541,-1.29132706294689,0.196590290182586,0.274616148148624,"Stable"
"hsa-miR-4473",0.701429553615091,-0.304272770728482,0.20180316244086,-1.50777008173819,0.131613381844169,0.195557619249591,"Stable"
